 Algorytm z asymptota O(T(n)) 
     n     t(n)[ms]    q(n)   
   100000       501  0.994468 
   105000       479  0.904808 
   110000       474  0.854847 
   115000       469  0.809576 
   120000       480  0.793856 
   125000       511  0.810962 
   130000       529  0.807838 
   135000       542  0.796867 
   140000       579  0.821381 
   145000       602  0.824239 
   150000       637  0.842901 
   155000       662  0.847055 
   160000       672   0.83397 
   165000       721  0.866745 
   170000       723  0.843702 
   172500       869         1 
   175000       781  0.884979 
   180000       779  0.859074 
   185000       851  0.912603 
   190000       870  0.908834 
   195000       949   0.96546 
   200000       981  0.972655 
   205000      1102   1.06685 
   210000      1173   1.10783 
   215000      1257   1.15963 
   220000      1309   1.18015 
   225000      1398   1.23271 
   230000      1624   1.40076 
   235000      1647   1.38986 
   240000      1789   1.47865 
   245000      1795   1.45292 
